lds,name,tot,tno,pno,shirtNumber,firstName,familyName,internationalFirstName,internationalFamilyName,firstNameInitial,familyNameInitial,internationalFirstNameInitial,internationalFamilyNameInitial,scoreboardName,photoT,photoS
sBlocks,J. Malonzo,3,1,12,3,Jamie,Malonzo,Jamie,Malonzo,J,M,J,M,J. Malonzo,https://se-img.dcd-production.i.geniussports.com/b68eb1b7d725d2486266536d5398df20T1.png,https://se-img.dcd-production.i.geniussports.com/b68eb1b7d725d2486266536d5398df20S1.png
sBlocks,A. Mariano,1,1,13,31,Aljon,Mariano,Aljon,Mariano,A,M,A,M,A. Mariano,https://se-img.dcd-production.i.geniussports.com/3b4ae82206c806f281ad5d7374999859T1.jpg,https://se-img.dcd-production.i.geniussports.com/3b4ae82206c806f281ad5d7374999859S1.jpg
sSteals,M. Borboran,2,2,1,16,Mark Anthony,Borboran,Mark Anthony,Borboran,M,B,M,B,M. Borboran,https://se-img.dcd-production.i.geniussports.com/81678d966cfcce560f3e9b5b38266a51T1.jpg,https://se-img.dcd-production.i.geniussports.com/81678d966cfcce560f3e9b5b38266a51S1.jpg
sSteals,A. Asistio,2,2,8,8,Anton,Asistio,Anton,Asistio,A,A,A,A,A. Asistio,https://se-img.dcd-production.i.geniussports.com/54fb50ad00fba372d6ff659eb69dbce6T1.jpg,https://se-img.dcd-production.i.geniussports.com/54fb50ad00fba372d6ff659eb69dbce6S1.jpg
sSteals,L. Tenorio,1,1,1,5,Lewis Alfred,Tenorio,Lewis Alfred,Tenorio,L,T,L,T,L. Tenorio,https://se-img.dcd-production.i.geniussports.com/ce849114a5e8628c539b614e0ca6b117T1.jpg,https://se-img.dcd-production.i.geniussports.com/ce849114a5e8628c539b614e0ca6b117S1.jpg
sSteals,J. Aguilar,1,1,2,25,Japeth,Aguilar,Japeth,Aguilar,J,A,J,A,J. Aguilar,https://se-img.dcd-production.i.geniussports.com/006ec822693ce354acca0f1411f10505T1.jpg,https://se-img.dcd-production.i.geniussports.com/006ec822693ce354acca0f1411f10505S1.jpg
sSteals,J. Dillinger,1,1,3,2,Jared,Dillinger,Jared,Dillinger,J,D,J,D,J. Dillinger,https://se-img.dcd-production.i.geniussports.com/d122bfe87cb01f8203bc8fd587d05501T1.jpg,https://se-img.dcd-production.i.geniussports.com/d122bfe87cb01f8203bc8fd587d05501S1.jpg
sAssists,R. Nambatac,9,2,4,27,Rey,Nambatac,Rey,Nambatac,R,N,R,N,R. Nambatac,https://se-img.dcd-production.i.geniussports.com/8cf9e52e3f9a88fc5fcad39fbed0f3f8T1.jpg,https://se-img.dcd-production.i.geniussports.com/8cf9e52e3f9a88fc5fcad39fbed0f3f8S1.jpg
sAssists,J. Brownlee,5,1,8,32,Justin,Brownlee,Justin,Brownlee,J,B,J,B,J. Brownlee,http://img.wh.sportingpulseinternational.com/a49220af7c6b3db63a6bcbfbd9b4eaa6T1.jpg,http://img.wh.sportingpulseinternational.com/a49220af7c6b3db63a6bcbfbd9b4eaa6S1.jpg
sAssists,S. Taylor Jr.,5,2,16,23,Steve,Taylor Jr.,Steve,Taylor Jr.,S,T,S,T,S. Taylor Jr.,NA,NA
sAssists,L. Tenorio,3,1,1,5,Lewis Alfred,Tenorio,Lewis Alfred,Tenorio,L,T,L,T,L. Tenorio,https://se-img.dcd-production.i.geniussports.com/ce849114a5e8628c539b614e0ca6b117T1.jpg,https://se-img.dcd-production.i.geniussports.com/ce849114a5e8628c539b614e0ca6b117S1.jpg
sAssists,M. Nieto,3,2,11,7,Mike,Nieto,Mike,Nieto,M,N,M,N,M. Nieto,https://se-img.dcd-production.i.geniussports.com/ed1043af7e1ef14891938c487171f5e6T1.jpg,https://se-img.dcd-production.i.geniussports.com/ed1043af7e1ef14891938c487171f5e6S1.jpg
sReboundsTotal,J. Brownlee,16,1,8,32,Justin,Brownlee,Justin,Brownlee,J,B,J,B,J. Brownlee,http://img.wh.sportingpulseinternational.com/a49220af7c6b3db63a6bcbfbd9b4eaa6T1.jpg,http://img.wh.sportingpulseinternational.com/a49220af7c6b3db63a6bcbfbd9b4eaa6S1.jpg
sReboundsTotal,S. Thompson,10,1,7,9,Scottie,Thompson,Scottie,Thompson,S,T,S,T,S. Thompson,https://se-img.dcd-production.i.geniussports.com/62637f05c4b67f263f63729ae13148d0T1.jpg,https://se-img.dcd-production.i.geniussports.com/62637f05c4b67f263f63729ae13148d0S1.jpg
sReboundsTotal,S. Taylor Jr.,10,2,16,23,Steve,Taylor Jr.,Steve,Taylor Jr.,S,T,S,T,S. Taylor Jr.,NA,NA
sReboundsTotal,J. Malonzo,8,1,12,3,Jamie,Malonzo,Jamie,Malonzo,J,M,J,M,J. Malonzo,https://se-img.dcd-production.i.geniussports.com/b68eb1b7d725d2486266536d5398df20T1.png,https://se-img.dcd-production.i.geniussports.com/b68eb1b7d725d2486266536d5398df20S1.png
sReboundsTotal,N. Torres,7,2,3,29,Norbert,Torres,Norbert,Torres,N,T,N,T,N. Torres,https://se-img.dcd-production.i.geniussports.com/d89f533c1b104e0d6ab6c645fd364c84T1.jpg,https://se-img.dcd-production.i.geniussports.com/d89f533c1b104e0d6ab6c645fd364c84S1.jpg
sPoints,S. Taylor Jr.,21,2,16,23,Steve,Taylor Jr.,Steve,Taylor Jr.,S,T,S,T,S. Taylor Jr.,NA,NA
sPoints,J. Brownlee,20,1,8,32,Justin,Brownlee,Justin,Brownlee,J,B,J,B,J. Brownlee,http://img.wh.sportingpulseinternational.com/a49220af7c6b3db63a6bcbfbd9b4eaa6T1.jpg,http://img.wh.sportingpulseinternational.com/a49220af7c6b3db63a6bcbfbd9b4eaa6S1.jpg
sPoints,L. Santillan,15,2,10,25,Leonard,Santillan,Leonard,Santillan,L,S,L,S,L. Santillan,https://se-img.dcd-production.i.geniussports.com/f573c00aab6dd660b1999d4e85d39c01T1.jpg,https://se-img.dcd-production.i.geniussports.com/f573c00aab6dd660b1999d4e85d39c01S1.jpg
sPoints,J. Malonzo,14,1,12,3,Jamie,Malonzo,Jamie,Malonzo,J,M,J,M,J. Malonzo,https://se-img.dcd-production.i.geniussports.com/b68eb1b7d725d2486266536d5398df20T1.png,https://se-img.dcd-production.i.geniussports.com/b68eb1b7d725d2486266536d5398df20S1.png
sPoints,M. Nieto,10,2,11,7,Mike,Nieto,Mike,Nieto,M,N,M,N,M. Nieto,https://se-img.dcd-production.i.geniussports.com/ed1043af7e1ef14891938c487171f5e6T1.jpg,https://se-img.dcd-production.i.geniussports.com/ed1043af7e1ef14891938c487171f5e6S1.jpg
