gt,pno,tno,per,perType,player,shirtNumber,firstName,familyName,internationalFirstName,internationalFamilyName,firstNameInitial,familyNameInitial,internationalFirstNameInitial,internationalFamilyNameInitial,scoreboardName
11:26,2,1,1,REGULAR,J. Aguilar,25,Japeth,Aguilar,Japeth,Aguilar,J,A,J,A,J. Aguilar
10:50,4,1,1,REGULAR,S. Pringle,11,Stanley Jr.,Pringle,Stanley Jr.,Pringle,S,P,S,P,S. Pringle
10:12,12,1,1,REGULAR,J. Malonzo,3,Jamie,Malonzo,Jamie,Malonzo,J,M,J,M,J. Malonzo
09:37,2,1,1,REGULAR,J. Aguilar,25,Japeth,Aguilar,Japeth,Aguilar,J,A,J,A,J. Aguilar
08:05,2,1,1,REGULAR,J. Aguilar,25,Japeth,Aguilar,Japeth,Aguilar,J,A,J,A,J. Aguilar
07:21,4,1,1,REGULAR,S. Pringle,11,Stanley Jr.,Pringle,Stanley Jr.,Pringle,S,P,S,P,S. Pringle
05:59,12,1,1,REGULAR,J. Malonzo,3,Jamie,Malonzo,Jamie,Malonzo,J,M,J,M,J. Malonzo
05:32,12,1,1,REGULAR,J. Malonzo,3,Jamie,Malonzo,Jamie,Malonzo,J,M,J,M,J. Malonzo
04:01,8,1,1,REGULAR,J. Brownlee,32,Justin,Brownlee,Justin,Brownlee,J,B,J,B,J. Brownlee
02:59,12,1,1,REGULAR,J. Malonzo,3,Jamie,Malonzo,Jamie,Malonzo,J,M,J,M,J. Malonzo
01:22,8,1,1,REGULAR,J. Brownlee,32,Justin,Brownlee,Justin,Brownlee,J,B,J,B,J. Brownlee
00:16,10,1,1,REGULAR,C. Standhardinger,34,Christian,Standhardinger,Christian,Standhardinger,C,S,C,S,C. Standhardinger
08:47,10,1,2,REGULAR,C. Standhardinger,34,Christian,Standhardinger,Christian,Standhardinger,C,S,C,S,C. Standhardinger
06:20,8,1,2,REGULAR,J. Brownlee,32,Justin,Brownlee,Justin,Brownlee,J,B,J,B,J. Brownlee
00:58,7,1,2,REGULAR,S. Thompson,9,Scottie,Thompson,Scottie,Thompson,S,T,S,T,S. Thompson
11:37,12,1,3,REGULAR,J. Malonzo,3,Jamie,Malonzo,Jamie,Malonzo,J,M,J,M,J. Malonzo
11:07,8,1,3,REGULAR,J. Brownlee,32,Justin,Brownlee,Justin,Brownlee,J,B,J,B,J. Brownlee
10:25,8,1,3,REGULAR,J. Brownlee,32,Justin,Brownlee,Justin,Brownlee,J,B,J,B,J. Brownlee
10:25,8,1,3,REGULAR,J. Brownlee,32,Justin,Brownlee,Justin,Brownlee,J,B,J,B,J. Brownlee
08:14,2,1,3,REGULAR,J. Aguilar,25,Japeth,Aguilar,Japeth,Aguilar,J,A,J,A,J. Aguilar
06:59,4,1,3,REGULAR,S. Pringle,11,Stanley Jr.,Pringle,Stanley Jr.,Pringle,S,P,S,P,S. Pringle
06:57,4,1,3,REGULAR,S. Pringle,11,Stanley Jr.,Pringle,Stanley Jr.,Pringle,S,P,S,P,S. Pringle
05:21,10,1,3,REGULAR,C. Standhardinger,34,Christian,Standhardinger,Christian,Standhardinger,C,S,C,S,C. Standhardinger
04:00,8,1,3,REGULAR,J. Brownlee,32,Justin,Brownlee,Justin,Brownlee,J,B,J,B,J. Brownlee
02:52,8,1,3,REGULAR,J. Brownlee,32,Justin,Brownlee,Justin,Brownlee,J,B,J,B,J. Brownlee
01:43,10,1,3,REGULAR,C. Standhardinger,34,Christian,Standhardinger,Christian,Standhardinger,C,S,C,S,C. Standhardinger
10:25,10,1,4,REGULAR,C. Standhardinger,34,Christian,Standhardinger,Christian,Standhardinger,C,S,C,S,C. Standhardinger
09:11,5,1,4,REGULAR,N. Pinto,17,Nard John,Pinto,Nard John,Pinto,N,P,N,P,N. Pinto
08:16,1,1,4,REGULAR,L. Tenorio,5,Lewis Alfred,Tenorio,Lewis Alfred,Tenorio,L,T,L,T,L. Tenorio
03:57,8,1,4,REGULAR,J. Brownlee,32,Justin,Brownlee,Justin,Brownlee,J,B,J,B,J. Brownlee
03:17,12,1,4,REGULAR,J. Malonzo,3,Jamie,Malonzo,Jamie,Malonzo,J,M,J,M,J. Malonzo
02:38,8,1,4,REGULAR,J. Brownlee,32,Justin,Brownlee,Justin,Brownlee,J,B,J,B,J. Brownlee
01:33,5,1,4,REGULAR,N. Pinto,17,Nard John,Pinto,Nard John,Pinto,N,P,N,P,N. Pinto
01:18,8,1,4,REGULAR,J. Brownlee,32,Justin,Brownlee,Justin,Brownlee,J,B,J,B,J. Brownlee
01:18,8,1,4,REGULAR,J. Brownlee,32,Justin,Brownlee,Justin,Brownlee,J,B,J,B,J. Brownlee
00:52,5,1,4,REGULAR,N. Pinto,17,Nard John,Pinto,Nard John,Pinto,N,P,N,P,N. Pinto
00:32,12,1,4,REGULAR,J. Malonzo,3,Jamie,Malonzo,Jamie,Malonzo,J,M,J,M,J. Malonzo
11:35,16,2,1,REGULAR,S. Taylor Jr.,23,Steve,Taylor Jr.,Steve,Taylor Jr.,S,T,S,T,S. Taylor Jr.
10:32,16,2,1,REGULAR,S. Taylor Jr.,23,Steve,Taylor Jr.,Steve,Taylor Jr.,S,T,S,T,S. Taylor Jr.
08:27,16,2,1,REGULAR,S. Taylor Jr.,23,Steve,Taylor Jr.,Steve,Taylor Jr.,S,T,S,T,S. Taylor Jr.
07:39,5,2,1,REGULAR,G. Norwood,5,Gabe,Norwood,Gabe,Norwood,G,N,G,N,G. Norwood
07:05,16,2,1,REGULAR,S. Taylor Jr.,23,Steve,Taylor Jr.,Steve,Taylor Jr.,S,T,S,T,S. Taylor Jr.
06:28,16,2,1,REGULAR,S. Taylor Jr.,23,Steve,Taylor Jr.,Steve,Taylor Jr.,S,T,S,T,S. Taylor Jr.
04:21,6,2,1,REGULAR,B. Belga,30,Beau,Belga,Beau,Belga,B,B,B,B,B. Belga
02:41,16,2,1,REGULAR,S. Taylor Jr.,23,Steve,Taylor Jr.,Steve,Taylor Jr.,S,T,S,T,S. Taylor Jr.
01:41,11,2,1,REGULAR,M. Nieto,7,Mike,Nieto,Mike,Nieto,M,N,M,N,M. Nieto
01:04,11,2,1,REGULAR,M. Nieto,7,Mike,Nieto,Mike,Nieto,M,N,M,N,M. Nieto
00:02,16,2,1,REGULAR,S. Taylor Jr.,23,Steve,Taylor Jr.,Steve,Taylor Jr.,S,T,S,T,S. Taylor Jr.
11:49,9,2,2,REGULAR,A. Caracut,14,Andrei,Caracut,Andrei,Caracut,A,C,A,C,A. Caracut
09:53,2,2,2,REGULAR,J. Ponferrada,15,Jewel,Ponferada,Jewel,Ponferrada,J,P,J,P,J. Ponferada
09:08,10,2,2,REGULAR,L. Santillan,25,Leonard,Santillan,Leonard,Santillan,L,S,L,S,L. Santillan
07:33,1,2,2,REGULAR,M. Borboran,16,Mark Anthony,Borboran,Mark Anthony,Borboran,M,B,M,B,M. Borboran
06:57,10,2,2,REGULAR,L. Santillan,25,Leonard,Santillan,Leonard,Santillan,L,S,L,S,L. Santillan
05:25,3,2,2,REGULAR,N. Torres,29,Norbert,Torres,Norbert,Torres,N,T,N,T,N. Torres
04:40,4,2,2,REGULAR,R. Nambatac,27,Rey,Nambatac,Rey,Nambatac,R,N,R,N,R. Nambatac
04:05,3,2,2,REGULAR,N. Torres,29,Norbert,Torres,Norbert,Torres,N,T,N,T,N. Torres
03:23,8,2,2,REGULAR,A. Asistio,8,Anton,Asistio,Anton,Asistio,A,A,A,A,A. Asistio
02:40,3,2,2,REGULAR,N. Torres,29,Norbert,Torres,Norbert,Torres,N,T,N,T,N. Torres
02:13,8,2,2,REGULAR,A. Asistio,8,Anton,Asistio,Anton,Asistio,A,A,A,A,A. Asistio
01:38,16,2,2,REGULAR,S. Taylor Jr.,23,Steve,Taylor Jr.,Steve,Taylor Jr.,S,T,S,T,S. Taylor Jr.
00:01,16,2,2,REGULAR,S. Taylor Jr.,23,Steve,Taylor Jr.,Steve,Taylor Jr.,S,T,S,T,S. Taylor Jr.
09:32,9,2,3,REGULAR,A. Caracut,14,Andrei,Caracut,Andrei,Caracut,A,C,A,C,A. Caracut
08:53,16,2,3,REGULAR,S. Taylor Jr.,23,Steve,Taylor Jr.,Steve,Taylor Jr.,S,T,S,T,S. Taylor Jr.
07:05,6,2,3,REGULAR,B. Belga,30,Beau,Belga,Beau,Belga,B,B,B,B,B. Belga
07:05,6,2,3,REGULAR,B. Belga,30,Beau,Belga,Beau,Belga,B,B,B,B,B. Belga
05:55,4,2,3,REGULAR,R. Nambatac,27,Rey,Nambatac,Rey,Nambatac,R,N,R,N,R. Nambatac
05:55,4,2,3,REGULAR,R. Nambatac,27,Rey,Nambatac,Rey,Nambatac,R,N,R,N,R. Nambatac
04:55,10,2,3,REGULAR,L. Santillan,25,Leonard,Santillan,Leonard,Santillan,L,S,L,S,L. Santillan
04:10,10,2,3,REGULAR,L. Santillan,25,Leonard,Santillan,Leonard,Santillan,L,S,L,S,L. Santillan
02:42,8,2,3,REGULAR,A. Asistio,8,Anton,Asistio,Anton,Asistio,A,A,A,A,A. Asistio
01:02,10,2,3,REGULAR,L. Santillan,25,Leonard,Santillan,Leonard,Santillan,L,S,L,S,L. Santillan
00:27,10,2,3,REGULAR,L. Santillan,25,Leonard,Santillan,Leonard,Santillan,L,S,L,S,L. Santillan
11:25,2,2,4,REGULAR,J. Ponferrada,15,Jewel,Ponferada,Jewel,Ponferrada,J,P,J,P,J. Ponferada
10:07,10,2,4,REGULAR,L. Santillan,25,Leonard,Santillan,Leonard,Santillan,L,S,L,S,L. Santillan
08:58,9,2,4,REGULAR,A. Caracut,14,Andrei,Caracut,Andrei,Caracut,A,C,A,C,A. Caracut
06:48,9,2,4,REGULAR,A. Caracut,14,Andrei,Caracut,Andrei,Caracut,A,C,A,C,A. Caracut
06:00,4,2,4,REGULAR,R. Nambatac,27,Rey,Nambatac,Rey,Nambatac,R,N,R,N,R. Nambatac
04:17,11,2,4,REGULAR,M. Nieto,7,Mike,Nieto,Mike,Nieto,M,N,M,N,M. Nieto
02:56,11,2,4,REGULAR,M. Nieto,7,Mike,Nieto,Mike,Nieto,M,N,M,N,M. Nieto
01:05,14,2,4,REGULAR,S. Ildefonso,10,Shaun,Ildefonso,Shaun,Ildefonso,S,I,S,I,S. Ildefonso
